0,2562,2.00
0,2710,2.00
0,2817,3.00
0,2923,2.00
0,3150,3.00
0,3256,2.00
0,3362,2.00
0,3469,2.00
0,3575,2.00
0,3681,2.00
0,3787,2.00
0,3894,2.00
0,4000,2.00
0,4106,2.00
0,4213,2.00
0,4319,3.00
0,4425,2.00
0,4532,2.00
0,4638,1.00
0,4744,4.00
0,4851,5.00
0,4957,5.00
0,5063,3.00
0,5170,2.00
0,5276,2.00
0,5382,2.00
0,5488,2.00
0,5595,2.00
0,5701,2.00
0,5807,2.00
0,5914,2.00
0,6020,3.00
0,6126,3.00
0,6232,3.00
0,6339,3.00
0,6445,3.00
0,6551,3.00
0,6658,3.00
0,6764,3.00
0,6870,3.00
0,6977,3.00
0,7083,3.00
0,7189,2.00
0,7296,3.00
0,7402,3.00
0,7508,3.00
0,7615,2.00
0,7721,3.00
0,7827,3.00
0,7933,3.00
0,8040,3.00
0,8146,2.00
0,8252,2.00
0,8359,2.00
0,8465,2.00
0,8571,2.00
0,8678,2.00
0,2425,2.00
0,2529,11.00
0,2635,17.00
0,2742,4.00
0,2969,3.00
0,3075,3.00
0,3181,4.00
0,3287,3.00
0,3394,4.00
0,3500,3.00
0,3606,4.00
0,3712,4.00
0,3819,3.00
0,3925,3.00
0,4031,3.00
0,4137,3.00
0,4244,3.00
0,4350,3.00
0,4456,2.00
0,4562,3.00
0,4668,4.00
0,4775,3.00
0,4881,3.00
0,4987,4.00
0,5094,462.00
0,5200,619.00
0,5306,684.00
0,5412,758.00
0,5519,760.00
0,5625,760.00
0,5731,761.00
0,5837,740.00
0,5944,154.00
0,6050,2.00
0,6156,703.00
0,6262,761.00
0,6369,763.00
0,6475,763.00
0,6581,763.00
0,6688,763.00
0,6794,763.00
0,6900,758.00
0,7006,574.00
0,7112,764.00
0,7219,762.00
0,7325,564.00
0,7431,767.00
0,7538,764.00
0,7644,344.00
0,7750,2.00
0,7856,2.00
0,7963,693.00
0,8069,760.00
0,8175,759.00
0,8281,136.00
0,8388,2.00
0,8494,554.00
0,8600,759.00
0,8706,760.00
0,8813,759.00
0,8919,257.00
0,9025,3.00
0,9131,625.00
0,9238,759.00
0,9344,760.00
0,9450,665.00
0,9556,6.00
0,9662,515.00
0,9769,652.00
0,9875,7.00
0,9981,551.00
0,10088,682.00
0,10194,2.00
0,10300,217.00
0,10406,724.00
0,10512,760.00
0,10619,759.00
0,10725,759.00
0,10831,719.00
0,10938,2.00
0,11044,2.00
0,11150,471.00
0,11256,759.00
0,11363,760.00
0,11469,760.00
0,11575,693.00
0,11681,3.00
0,11787,2.00
0,11894,2.00
0,12000,497.00
0,12106,754.00
0,12212,760.00
0,12319,760.00
0,12425,760.00
0,12531,759.00
0,12637,760.00
0,12744,760.00
0,12850,760.00
0,12956,760.00
0,13062,760.00
0,13169,760.00
0,13275,759.00
0,13381,760.00
0,13487,760.00
0,13594,760.00
0,13700,760.00
0,13806,760.00
0,13912,710.00
0,14019,7.00
0,14125,4.00
0,14231,4.00
0,14337,5.00
0,14443,5.00
0,14550,4.00
0,14656,4.00
0,14762,5.00
0,14868,5.00
